period,respondent,respondent-name,type,type-name,value,value-units
2024-04-16T09,PGE,Portland General Electric Company,D,Demand,2034,megawatthours
2024-04-16T09,HST,City of Homestead,D,Demand,42,megawatthours
2024-04-16T09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,58823,megawatthours
2024-04-16T09,GCPD,"Public Utility District No. 2 of Grant County, Washington",D,Demand,697,megawatthours
2024-04-16T09,AECI,"Associated Electric Cooperative, Inc.",D,Demand,1585,megawatthours
2024-04-16T09,PJM,"PJM Interconnection, LLC",D,Demand,69518,megawatthours
2024-04-16T09,EPE,El Paso Electric Company,D,Demand,683,megawatthours
2024-04-16T09,TEC,Tampa Electric Company,D,Demand,1553,megawatthours
2024-04-16T09,CPLE,Duke Energy Progress East,D,Demand,4738,megawatthours
2024-04-16T09,DUK,Duke Energy Carolinas,D,Demand,8782,megawatthours
2024-04-16T09,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,63,megawatthours
2024-04-16T09,JEA,JEA,D,Demand,,megawatthours
2024-04-16T09,SCEG,"Dominion Energy South Carolina, Inc.",D,Demand,1976,megawatthours
2024-04-16T09,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,D,Demand,0,megawatthours
2024-04-16T09,FPL,Florida Power & Light Co.,D,Demand,9730,megawatthours
2024-04-16T09,US48,United States Lower 48,D,Demand,355123,megawatthours
2024-04-16T09,TEPC,Tucson Electric Power,D,Demand,1134,megawatthours
2024-04-16T09,NYIS,New York Independent System Operator,D,Demand,12734,megawatthours
2024-04-16T09,PACW,PacifiCorp West,D,Demand,1851,megawatthours
2024-04-16T09,TAL,City of Tallahassee,D,Demand,196,megawatthours
2024-04-16T09,TVA,Tennessee Valley Authority,D,Demand,13569,megawatthours
2024-04-16T09,IID,Imperial Irrigation District,D,Demand,259,megawatthours
2024-04-16T09,ISNE,ISO New England,D,Demand,9598,megawatthours
2024-04-16T09,SE,Southeast,D,Demand,18705,megawatthours
2024-04-16T09,BANC,Balancing Authority of Northern California,D,Demand,1432,megawatthours
2024-04-16T09,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,3513,megawatthours
2024-04-16T09,NWMT,NorthWestern Corporation,D,Demand,1094,megawatthours
2024-04-16T09,NW,Northwest,D,Demand,35147,megawatthours
2024-04-16T09,DOPD,PUD No. 1 of Douglas County,D,Demand,201,megawatthours
2024-04-16T09,FPC,"Duke Energy Florida, Inc.",D,Demand,3848,megawatthours
2024-04-16T09,TEN,Tennessee,D,Demand,13569,megawatthours
2024-04-16T09,PSEI,"Puget Sound Energy, Inc.",D,Demand,2310,megawatthours
2024-04-16T09,PNM,Public Service Company of New Mexico,D,Demand,1462,megawatthours
2024-04-16T09,PSCO,Public Service Company of Colorado,D,Demand,3691,megawatthours
2024-04-16T09,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",D,Demand,443,megawatthours
2024-04-16T09,CENT,Central,D,Demand,26192,megawatthours
2024-04-16T09,CAR,Carolinas,D,Demand,17799,megawatthours
2024-04-16T09,MIDA,Mid-Atlantic,D,Demand,69518,megawatthours
2024-04-16T09,FLA,Florida,D,Demand,17954,megawatthours
2024-04-16T09,MIDW,Midwest,D,Demand,60408,megawatthours
2024-04-16T09,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,2666,megawatthours
2024-04-16T09,SPA,Southwestern Power Administration,D,Demand,-61,megawatthours
2024-04-16T09,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,927,megawatthours
2024-04-16T09,LDWP,Los Angeles Department of Water and Power,D,Demand,151,megawatthours
2024-04-16T09,NY,New York,D,Demand,12734,megawatthours
2024-04-16T09,SW,Southwest,D,Demand,9636,megawatthours
2024-04-16T09,SCL,Seattle City Light,D,Demand,790,megawatthours
2024-04-16T09,TEX,Texas,D,Demand,40986,megawatthours
2024-04-16T09,SWPP,Southwest Power Pool,D,Demand,26184,megawatthours
2024-04-16T09,CAL,California,D,Demand,22877,megawatthours
2024-04-16T09,GVL,Gainesville Regional Utilities,D,Demand,148,megawatthours
2024-04-16T09,CPLW,Duke Energy Progress West,D,Demand,357,megawatthours
2024-04-16T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40986,megawatthours
2024-04-16T09,AVA,Avista Corporation,D,Demand,1144,megawatthours
2024-04-16T09,BPAT,Bonneville Power Administration,D,Demand,7544,megawatthours
2024-04-16T09,NEVP,Nevada Power Company,D,Demand,3333,megawatthours
2024-04-16T09,SC,South Carolina Public Service Authority,D,Demand,1946,megawatthours
2024-04-16T09,PACE,PacifiCorp East,D,Demand,4910,megawatthours
2024-04-16T09,AZPS,Arizona Public Service Company,D,Demand,2764,megawatthours
2024-04-16T09,SEC,Seminole Electric Cooperative,D,Demand,147,megawatthours
2024-04-16T09,SOCO,"Southern Company Services, Inc. - Trans",D,Demand,18705,megawatthours
2024-04-16T09,NE,New England,D,Demand,9598,megawatthours
2024-04-16T09,FMPP,Florida Municipal Power Pool,D,Demand,1311,megawatthours
