Data,Cons 1,Cons 2,Cons 3,Cons 4,Cons 5,Cons 6,Cons 7,Cons 8,Cons 9,Cons 10,Cons 11,Cons 12,Cons 13,Cons 14
2019-01-01 00:00:00,0.337,0.059,1.248,1.62,0.827,0.324,0.153,0.46,0.244,1.267,1.073,0.715,2.723,0.531
2019-01-01 01:00:00,0.304,0.056,0.284,0.74,0.993,0.621,0.315,0.362,0.209,1.284,1.285,0.76,2.491,1.098
2019-01-01 02:00:00,0.368,0.057,0.247,0.34,0.246,0.755,0.295,0.162,0.235,1.229,1.432,0.873,2.599,0.883
2019-01-01 03:00:00,0.119,0.06,0.134,0.149,0.23,0.649,0.194,0.197,0.267,3.09,1.168,0.312,1.219,0.341
2019-01-01 04:00:00,0.19,0.062,0.166,0.198,0.196,0.174,0.218,0.196,0.271,4.089,0.593,0.465,1.661,0.287
2019-01-01 05:00:00,0.077,0.059,0.169,0.187,0.245,0.206,0.161,0.156,0.709,2.127,0.621,0.271,1.692,0.256
2019-01-01 06:00:00,0.095,0.064,0.148,0.136,0.163,0.223,0.172,0.199,1.91,0.487,0.647,0.384,1.669,0.47
2019-01-01 07:00:00,0.073,0.06,0.115,0.202,0.224,0.184,0.202,0.148,1.554,0.454,0.59,0.332,1.65,3.227
2019-01-01 08:00:00,0.118,0.057,0.176,0.179,0.199,0.125,0.711,0.338,0.566,0.31,0.645,0.465,1.565,6.08
2019-01-01 09:00:00,0.088,0.059,0.232,0.358,0.208,0.589,0.265,0.221,0.889,0.539,1.984,0.341,1.55,2.82
2019-01-01 10:00:00,0.104,0.06,0.218,0.468,0.479,2.03,0.24,0.558,0.591,4.68,1.82,0.529,1.055,0.52
2019-01-01 11:00:00,1.8,0.056,0.514,0.877,0.824,0.235,0.507,0.968,0.432,7.947,1.483,2.628,1.497,0.858
2019-01-01 12:00:00,2.035,0.056,0.464,4.713,0.288,0.227,0.368,0.56,0.419,3.336,2.658,2.849,1.461,0.998
2019-01-01 13:00:00,1.192,0.058,0.528,1.502,0.215,0.184,0.206,0.487,0.331,0.827,0.84,1.955,1.353,0.352
2019-01-01 14:00:00,1.035,0.062,0.52,1.234,0.165,0.156,0.173,0.61,0.394,4.059,0.583,0.364,1.216,0.446
2019-01-01 15:00:00,1.015,0.058,0.455,0.598,0.236,0.18,0.2,1.631,0.418,1.412,0.549,0.299,1.371,0.393
2019-01-01 16:00:00,0.775,0.051,0.504,0.492,0.232,0.863,0.907,0.215,0.512,2.155,0.594,0.548,2.424,0.3
2019-01-01 17:00:00,0.733,0.069,0.389,0.971,0.293,0.995,0.682,0.398,0.498,4.607,1.019,0.617,2.119,1.156
2019-01-01 18:00:00,0.897,0.987,0.414,0.546,0.3,0.266,0.21,0.879,0.598,5.784,1.369,1.135,2.551,1.955
2019-01-01 19:00:00,0.79,0.871,0.482,0.577,0.264,0.39,0.172,1.237,0.296,5.095,1.167,0.882,2.4,6.216
2019-01-01 20:00:00,1.075,0.212,0.505,0.87,0.685,0.322,0.212,0.214,0.194,4.912,0.873,0.604,2.397,5.287
2019-01-01 21:00:00,0.955,0.57,0.491,0.898,0.769,0.431,0.556,0.236,0.263,4.945,1.015,0.523,2.882,0.779
2019-01-01 22:00:00,0.399,0.226,0.207,0.407,0.379,0.898,0.371,0.136,0.193,4.593,1.859,0.505,2.408,0.548
2019-01-01 23:00:00,0.335,0.088,0.186,0.222,0.38,0.727,0.401,0.131,0.234,0.749,2.259,0.282,1.806,0.562
2019-01-02 00:00:00,0.214,0.105,0.195,0.15,0.311,0.373,0.346,0.221,0.201,0.547,0.997,0.243,1.244,0.438
2019-01-02 01:00:00,0.095,0.089,0.234,0.225,0.244,0.289,0.287,0.122,0.231,0.42,0.48,0.237,1.46,0.303
2019-01-02 02:00:00,0.157,0.086,0.202,0.155,0.192,0.279,0.182,0.145,0.165,0.348,0.432,0.379,1.743,0.559
2019-01-02 03:00:00,0.077,0.105,0.172,0.14,0.205,0.242,0.169,0.193,0.17,0.411,0.47,0.246,1.853,0.238
2019-01-02 04:00:00,0.085,0.1,0.155,0.205,0.206,0.253,0.172,0.126,0.162,2.849,0.5,0.236,1.715,0.507
2019-01-02 05:00:00,0.087,0.083,0.155,0.152,0.178,0.155,0.114,0.182,0.609,3.641,0.456,0.235,1.689,0.448
2019-01-02 06:00:00,0.071,0.095,0.21,0.151,0.768,0.333,0.177,0.143,1.778,0.385,0.47,0.395,1.547,0.397
2019-01-02 07:00:00,0.096,0.094,0.159,0.239,0.14,0.67,0.115,0.929,1.831,0.37,0.498,0.371,1.565,1.779
2019-01-02 08:00:00,0.265,0.141,0.352,0.55,0.82,0.543,0.204,0.941,0.741,0.308,1.318,0.402,1.483,6.094
2019-01-02 09:00:00,0.302,0.559,1.162,0.264,0.364,0.211,0.098,0.784,0.439,1.942,1.596,0.281,1.477,3.835
2019-01-02 10:00:00,0.375,0.282,0.331,0.584,0.206,0.644,0.434,1.072,0.328,4.35,0.809,0.368,1.227,1.617
2019-01-02 11:00:00,1.222,0.312,0.13,1.233,0.198,2.208,0.693,0.243,0.526,4.342,0.916,0.685,0.888,0.594
2019-01-02 12:00:00,1.076,0.175,0.239,1.24,0.166,1.677,1.515,0.181,0.462,0.989,0.617,0.221,1.421,0.917
2019-01-02 13:00:00,0.901,0.244,0.485,1.409,0.201,0.425,0.353,0.255,0.462,1.319,0.601,0.503,1.193,1.833
2019-01-02 14:00:00,0.568,0.099,0.329,0.718,0.229,0.264,0.396,0.152,0.376,3.49,0.478,0.597,3.09,1.996
2019-01-02 15:00:00,0.549,0.096,0.119,0.825,0.226,0.482,0.32,0.284,0.333,0.599,0.967,1.919,1.514,0.743
2019-01-02 16:00:00,0.557,0.084,0.109,0.566,0.178,0.298,0.324,0.584,0.221,0.694,0.783,0.204,1.093,0.234
2019-01-02 17:00:00,0.676,0.325,0.152,0.513,0.272,0.417,1.46,0.555,1.672,1.307,1.414,0.409,0.94,0.681
2019-01-02 18:00:00,0.641,1.438,0.299,0.386,0.305,0.468,1.501,1.06,0.761,4.619,1.488,0.485,1.725,0.706
2019-01-02 19:00:00,0.692,0.587,0.506,1.563,1.318,0.34,0.682,1.19,0.546,5.053,1.663,0.599,2.308,1.319
2019-01-02 20:00:00,0.602,0.281,0.467,0.504,0.679,0.565,0.792,0.853,0.452,1.32,2.989,1.118,2.476,5.708
2019-01-02 21:00:00,0.558,0.279,0.845,0.7,1.676,1.035,0.404,0.185,0.38,0.524,2.186,1.004,2.216,4.36
2019-01-02 22:00:00,0.681,0.14,1.101,0.546,1.165,0.833,0.299,0.118,0.364,0.42,2.698,0.658,2.113,1.349
2019-01-02 23:00:00,1.033,0.098,0.206,0.196,0.828,0.623,0.28,0.169,0.327,1.239,1.263,0.35,2.023,1.215
2019-01-03 00:00:00,0.617,0.091,0.183,0.175,0.194,0.351,0.44,0.123,0.223,3.738,0.907,0.281,1.338,0.474
2019-01-03 01:00:00,0.09,0.081,0.137,0.199,0.246,0.39,0.689,0.151,0.198,2.43,0.603,0.256,1.081,0.34
2019-01-03 02:00:00,0.097,0.082,0.118,0.122,0.222,0.192,0.549,0.143,0.248,0.367,1.536,0.182,1.114,0.442
2019-01-03 03:00:00,0.073,0.086,0.113,0.143,0.192,0.164,0.179,0.13,0.251,0.366,1.491,0.256,1.222,0.235
2019-01-03 04:00:00,0.144,0.1,0.101,0.196,0.198,0.195,0.181,0.154,0.149,0.377,1.078,0.225,1.498,0.389
2019-01-03 05:00:00,0.13,0.079,0.102,0.141,0.213,0.132,0.109,0.107,0.602,0.255,0.427,0.387,1.522,0.445
2019-01-03 06:00:00,0.087,0.213,0.101,0.201,0.587,0.129,0.885,0.162,1.661,0.232,0.393,0.38,1.498,0.389
2019-01-03 07:00:00,0.081,0.139,0.14,0.522,0.25,0.28,0.373,0.615,1.548,1.535,0.433,0.299,1.491,3.831
2019-01-03 08:00:00,0.295,0.096,0.151,0.244,0.581,0.651,0.153,0.539,0.573,3.554,0.691,0.293,1.626,6.574
2019-01-03 09:00:00,0.203,0.083,0.097,0.347,0.399,1.194,0.159,0.258,0.345,4.129,0.448,0.377,1.434,3.077
2019-01-03 10:00:00,0.357,0.082,0.105,1.246,0.193,0.915,0.307,0.346,0.333,0.651,0.432,0.224,1.477,1.875
2019-01-03 11:00:00,0.72,0.083,0.181,3.067,0.172,1.127,0.248,0.292,0.362,0.309,0.432,0.192,1.599,0.709
2019-01-03 12:00:00,1.59,0.085,0.245,1.369,0.202,1.799,0.515,0.187,0.529,0.327,0.609,0.209,1.132,1.63
2019-01-03 13:00:00,0.688,0.085,0.419,0.592,0.167,1.476,0.263,0.216,0.412,2.375,0.538,0.265,1.263,2.193
2019-01-03 14:00:00,0.471,0.189,0.168,0.359,0.192,0.629,0.289,0.336,0.434,2.12,0.496,0.477,2.057,0.974
2019-01-03 15:00:00,0.477,0.76,0.258,0.5,0.246,0.131,0.162,0.266,0.498,1.946,1.144,0.182,1.956,0.649
2019-01-03 16:00:00,0.476,1.116,0.168,1.133,0.231,0.125,0.261,0.308,0.437,1.277,1.002,0.212,1.671,0.25
2019-01-03 17:00:00,0.472,1.072,0.174,0.552,0.25,0.233,0.358,0.504,1.334,2.903,0.708,0.319,1.174,0.622
2019-01-03 18:00:00,0.459,1.157,0.441,1.842,0.656,0.513,0.972,0.841,0.664,6.11,1.806,0.295,2.029,0.601
2019-01-03 19:00:00,1.111,0.664,0.459,1.461,1.421,0.522,0.468,1.558,0.428,2.633,2.299,1.132,3.271,4.725
2019-01-03 20:00:00,1.289,1.065,0.473,0.319,1.352,0.799,0.653,0.787,0.535,1.807,2.231,0.583,2.117,6.169
2019-01-03 21:00:00,1.05,0.484,1.595,0.537,1.305,0.343,0.474,0.186,0.302,5.048,2.627,0.524,2.37,1.042
2019-01-03 22:00:00,0.878,0.165,0.227,0.577,1.149,0.514,0.287,0.153,0.341,4.383,1.995,0.56,2.143,0.623
2019-01-03 23:00:00,0.889,0.109,0.231,0.29,0.265,0.6,0.329,0.109,0.265,1.555,1.888,0.385,2.584,0.615
2019-01-04 00:00:00,0.239,0.088,0.122,0.237,0.287,0.849,0.242,0.156,0.165,0.474,0.706,0.497,1.797,0.263
2019-01-04 01:00:00,0.083,0.09,0.107,0.244,0.159,0.956,0.741,0.148,0.246,0.377,0.519,0.203,1.702,0.602
