Data;Cons 1;Cons 2;Cons 3;Cons 4;Cons 5;Cons 6;Cons 7;Cons 8;Cons 9;Cons 10;Cons 11;Cons 12;Cons 13;Cons 14
01/01/2019 00:15:00;0,095;0,013;0,569;0,154;0,269;0,068;0,039;0,132;0,05;0,34;0,288;0,173;0,877;0,095
01/01/2019 00:30:00;0,067;0,01;0,297;0,518;0,164;0,076;0,038;0,112;0,052;0,318;0,258;0,175;0,602;0,102
01/01/2019 00:45:00;0,091;0,021;0,07;0,543;0,187;0,099;0,038;0,101;0,081;0,292;0,259;0,188;0,563;0,201
01/01/2019 01:00:00;0,069;0,013;0,06;0,224;0,175;0,093;0,039;0,116;0,074;0,312;0,263;0,16;0,54;0,407
01/01/2019 01:15:00;0,084;0,011;0,079;0,173;0,237;0,149;0,06;0,097;0,053;0,332;0,255;0,178;0,544;0,282
01/01/2019 01:30:00;0,078;0,02;0,074;0,17;0,361;0,185;0,125;0,084;0,052;0,305;0,295;0,209;0,605;0,113
01/01/2019 01:45:00;0,073;0,012;0,071;0,173;0,22;0,194;0,091;0,065;0,03;0,335;0,472;0,213;0,802;0,296
01/01/2019 02:00:00;0,087;0,013;0,074;0,1;0,064;0,195;0,074;0,075;0,061;0,4;0,412;0,298;0,622;0,33
01/01/2019 02:15:00;0,192;0,018;0,058;0,1;0,065;0,186;0,074;0,02;0,079;0,34;0,321;0,349;0,549;0,19
01/01/2019 02:30:00;0,051;0,013;0,06;0,091;0,069;0,189;0,074;0,052;0,05;0,263;0,494;0,105;0,511;0,288
01/01/2019 02:45:00;0,038;0,013;0,055;0,049;0,048;0,185;0,073;0,015;0,045;0,226;0,205;0,121;0,917;0,075
01/01/2019 03:00:00;0,028;0,016;0,031;0,043;0,064;0,185;0,071;0,049;0,052;0,26;0,219;0,058;0,356;0,06
01/01/2019 03:15:00;0,04;0,015;0,028;0,036;0,041;0,188;0,04;0,02;0,047;0,457;0,357;0,081;0,266;0,058
01/01/2019 03:30:00;0,023;0,013;0,034;0,03;0,095;0,211;0,041;0,07;0,074;1,002;0,42;0,088;0,332;0,062
01/01/2019 03:45:00;0,028;0,016;0,041;0,04;0,03;0,065;0,042;0,058;0,094;1,371;0,172;0,085;0,265;0,161
01/01/2019 04:00:00;0,125;0,017;0,041;0,035;0,064;0,037;0,057;0,064;0,073;1,018;0,149;0,114;0,376;0,061
01/01/2019 04:15:00;0,014;0,013;0,041;0,048;0,031;0,049;0,067;0,064;0,087;1,026;0,134;0,068;0,445;0,06
01/01/2019 04:30:00;0,025;0,015;0,042;0,056;0,052;0,044;0,053;0,025;0,056;1,039;0,152;0,152;0,395;0,065
01/01/2019 04:45:00;0,026;0,017;0,042;0,059;0,049;0,044;0,041;0,043;0,055;1,006;0,158;0,131;0,445;0,101
01/01/2019 05:00:00;0,011;0,013;0,041;0,049;0,046;0,046;0,04;0,017;0,045;1,009;0,148;0,102;0,409;0,07
01/01/2019 05:15:00;0,029;0,017;0,043;0,053;0,085;0,047;0,04;0,049;0,054;0,912;0,138;0,069;0,427;0,06
01/01/2019 05:30:00;0,022;0,016;0,042;0,057;0,039;0,049;0,04;0,014;0,097;0,118;0,177;0,05;0,446;0,066
01/01/2019 05:45:00;0,015;0,013;0,043;0,028;0,075;0,064;0,041;0,076;0,513;0,088;0,158;0,05;0,41;0,06
01/01/2019 06:00:00;0,029;0,017;0,04;0,032;0,016;0,047;0,044;0,053;0,476;0,131;0,146;0,063;0,407;0,173
01/01/2019 06:15:00;0,017;0,016;0,041;0,043;0,065;0,039;0,042;0,07;0,487;0,132;0,178;0,077;0,432;0,093
01/01/2019 06:30:00;0,02;0,013;0,038;0,031;0,032;0,078;0,039;0,043;0,488;0,118;0,18;0,122;0,418;0,102
01/01/2019 06:45:00;0,029;0,018;0,029;0,03;0,05;0,059;0,047;0,033;0,459;0,106;0,143;0,122;0,412;0,102
01/01/2019 07:00:00;0,013;0,014;0,029;0,044;0,076;0,048;0,064;0,038;0,494;0,062;0,154;0,096;0,416;0,148
01/01/2019 07:15:00;0,023;0,014;0,029;0,047;0,048;0,047;0,061;0,021;0,499;0,108;0,155;0,102;0,414;0,587
01/01/2019 07:30:00;0,027;0,018;0,029;0,05;0,084;0,048;0,039;0,05;0,469;0,155;0,153;0,067;0,401;0,98
01/01/2019 07:45:00;0,01;0,014;0,028;0,061;0,016;0,041;0,038;0,039;0,092;0,129;0,128;0,067;0,419;1,512
01/01/2019 08:00:00;0,028;0,013;0,03;0,051;0,062;0,036;0,038;0,078;0,269;0,056;0,159;0,088;0,384;1,54
01/01/2019 08:15:00;0,023;0,017;0,03;0,047;0,038;0,032;0,367;0,057;0,109;0,088;0,165;0,094;0,417;1,544
