date,Discharge(W),Charge(W),Production[W],Consumption[W],State of Charge(%),H16_W
2020-01-01 01:00:00,0.0,2008.0667,0.0,582.6,0.8,1.0
2020-01-01 01:15:00,0.0,3000.0667,0.0,752.0,7.8,1.0
2020-01-01 01:30:00,0.0,2572.7857,0.0,761.1429,15.0,1.0
2020-01-01 01:45:00,0.0,2861.2,0.0,706.0,21.4,1.0
2020-01-01 02:00:00,0.0,3000.0,0.0,705.3333,28.8667,1.0
2020-01-01 02:15:00,0.0,3000.0,0.0,723.0,36.0667,1.0
2020-01-01 02:30:00,0.0,3000.0,0.0,737.7333,43.2,1.0
2020-01-01 02:45:00,0.0,3000.0,0.0,753.9333,50.6,1.0
2020-01-01 03:00:00,0.0,3000.0667,0.0,708.4667,57.9333,1.0
2020-01-01 03:15:00,0.0,2999.9333,0.0,727.6667,65.3333,1.0
2020-01-01 03:30:00,0.0,3000.0,0.0,732.5333,72.3333,1.0
2020-01-01 03:45:00,0.0,3000.0667,0.0,1195.4,79.6,1.0
2020-01-01 04:00:00,0.0,414.2667,0.0,844.9333,84.8,1.0
2020-01-01 04:15:00,0.0,6.8,0.0,786.3333,85.0,1.0
2020-01-01 04:30:00,0.0,6.8667,0.0,915.3333,85.0,1.0
2020-01-01 04:45:00,0.0,7.0,0.0,721.7333,85.0,1.0
2020-01-01 05:00:00,0.0,7.0,0.0,472.0,85.0,1.0
2020-01-01 05:15:00,0.0,7.0,0.0,449.0,85.0,1.0
2020-01-01 05:30:00,0.0,7.0,0.0,403.2,85.0,1.0
2020-01-01 05:45:00,0.0,7.0,0.0,372.8,85.0,1.0
2020-01-01 06:00:00,0.0,7.0,0.0,342.2667,85.0,1.0
2020-01-01 06:15:00,0.0,7.0,0.0,375.6667,85.0,1.0
2020-01-01 06:30:00,0.0,7.0,0.0,429.4667,85.0,1.0
2020-01-01 06:45:00,0.0,7.0,0.0,460.6,85.0,1.0
2020-01-01 07:00:00,0.0,7.0,0.0,413.5333,85.0,1.0
2020-01-01 07:15:00,0.0,7.0,0.0,462.8667,85.0,1.0
2020-01-01 07:30:00,0.0,7.0,0.0,459.2,85.0,1.0
2020-01-01 07:45:00,0.0,7.0,0.0,430.5333,85.0,1.0
2020-01-01 08:00:00,290.7333,1.4,0.0,416.4667,84.2,1.0
2020-01-01 08:15:00,398.3333,0.0,0.0,424.8667,83.0667,1.0
2020-01-01 08:30:00,304.8667,0.0,0.0,341.4667,82.0,1.0
2020-01-01 08:45:00,386.0,0.0,0.0,417.6,80.9333,1.0
2020-01-01 09:00:00,375.6667,0.0,0.0,399.9333,79.6,1.0
2020-01-01 09:15:00,394.9333,0.0,0.0,417.2667,77.7333,1.0
2020-01-01 09:30:00,346.0,0.0,0.0,371.0,76.7333,1.0
2020-01-01 09:45:00,382.2667,0.0,0.0,416.8,75.6,1.0
2020-01-01 10:00:00,405.0,0.0,0.0,438.6,74.6,1.0
2020-01-01 10:15:00,370.8667,0.0,0.0,388.2,73.4667,1.0
2020-01-01 10:30:00,355.8,0.0,0.0,384.3333,72.4667,1.0
2020-01-01 10:45:00,609.4,0.0,0.0,645.7333,71.1333,1.0
2020-01-01 11:00:00,1165.1333,0.0,0.0,1239.7333,69.0,1.0
2020-01-01 11:15:00,2145.8667,0.0,0.0,2552.9333,63.4667,1.0
2020-01-01 11:30:00,2071.5333,0.0,0.0,2328.7333,56.4667,1.0
