date,Discharge(W),Charge(W),Production[W],Consumption[W],State of Charge(%),H16_W
2020-01-01 01:00:00,0.0,2610.529775,0.0,700.435725,11.25,1.0
2020-01-01 02:00:00,0.0,3000.0,0.0,729.999975,39.683350000000004,1.0
2020-01-01 03:00:00,0.0,3000.016675,0.0,841.0166750000001,68.79997499999999,1.0
2020-01-01 04:00:00,0.0,108.73335,0.0,817.0833,84.95,1.0
2020-01-01 05:00:00,0.0,7.0,0.0,424.25,85.0,1.0
2020-01-01 06:00:00,0.0,7.0,0.0,402.000025,85.0,1.0
2020-01-01 07:00:00,0.0,7.0,0.0,441.533325,85.0,1.0
2020-01-01 08:00:00,344.983325,0.35,0.0,400.100025,82.55,1.0
2020-01-01 09:00:00,374.716675,0.0,0.0,401.25,77.41665,1.0
2020-01-01 10:00:00,435.26667499999996,0.0,0.0,464.21665,72.916675,1.0
2020-01-01 11:00:00,1640.51665,0.0,0.0,1836.099975,59.933350000000004,1.0
2020-01-01 12:00:00,772.9666500000001,0.0,0.0,817.266675,43.416675,1.0
2020-01-01 13:00:00,708.26665,0.0,0.0,762.1,33.283325000000005,1.0
2020-01-01 14:00:00,1547.25,0.0,0.0,1582.4666750000001,17.48335,1.0
2020-01-01 15:00:00,906.4166749999999,1.95,0.0,1122.23335,5.43335,1.0
2020-01-01 16:00:00,12.700000000000001,6.416675,0.0,459.099975,0.033325,1.0
2020-01-01 17:00:00,0.0,7.0,0.0,358.783325,0.0,1.0
2020-01-01 18:00:00,0.0,7.0,0.0,691.983325,0.0,1.0
2020-01-01 19:00:00,0.0,7.0,0.0,1013.0333250000001,0.0,1.0
2020-01-01 20:00:00,0.0,7.0,0.0,1112.1,0.0,1.0
2020-01-01 21:00:00,0.0,7.0,0.0,1165.01665,0.0,1.0
2020-01-01 22:00:00,0.0,7.0,0.0,1643.76665,0.0,1.0
2020-01-01 23:00:00,0.0,6.983325,0.0,1530.8500000000001,0.0,1.0
2020-01-02 00:00:00,0.0,7.0,0.0,702.600025,0.0,1.0
2020-01-02 01:00:00,0.0,2634.80595,0.0,699.3690750000001,11.689275,1.0
2020-01-02 02:00:00,0.0,3000.0,0.0,673.13335,39.16665,1.0
2020-01-02 03:00:00,0.0,2999.983325,0.0,659.433325,68.083325,1.0
2020-01-02 04:00:00,0.0,84.683325,0.0,582.58335,83.966675,1.0
2020-01-02 05:00:00,0.0,7.0,0.0,553.6333500000001,84.0,1.0
2020-01-02 06:00:00,0.0,7.0,0.0,652.366675,84.0,1.0
2020-01-02 07:00:00,0.0,7.11665,0.0,744.78335,84.0,1.0
2020-01-02 08:00:00,636.233325,0.233325,0.0,703.416675,79.61664999999999,1.0
2020-01-02 09:00:00,625.433325,0.0,0.0,665.61665,72.33335,1.0
2020-01-02 10:00:00,325.0167,0.0,0.0,353.766675,67.51667499999999,1.0
2020-01-02 11:00:00,357.43332499999997,0.0,0.0,388.483325,62.583325,1.0
2020-01-02 12:00:00,483.0,0.0,0.0,519.633325,57.25,1.0
2020-01-02 13:00:00,2731.733325,0.0,0.0,2915.1,36.633325,1.0
2020-01-02 14:00:00,648.716675,0.0,0.0,700.45,15.833325,1.0
2020-01-02 15:00:00,396.7,0.0,0.0,426.0,10.75,1.0
2020-01-02 16:00:00,398.71665,0.0,0.0,425.066675,5.25,1.0
2020-01-02 17:00:00,168.16665,4.35,0.0,577.18335,0.58335,1.0
2020-01-02 18:00:00,0.0,7.033325,0.0,667.2833499999999,0.0,1.0
2020-01-02 19:00:00,0.0,7.416675,0.0,1171.266675,0.0,1.0
2020-01-02 20:00:00,0.0,7.233325,0.0,883.4166749999999,0.0,1.0
2020-01-02 21:00:00,0.0,7.016675,0.0,758.4000000000001,0.0,1.0
2020-01-02 22:00:00,0.0,7.0,0.0,595.7333249999999,0.0,1.0
2020-01-02 23:00:00,0.0,7.0,0.0,558.23335,0.0,1.0
2020-01-03 00:00:00,0.0,7.0,0.0,1133.28335,0.0,1.0
2020-01-03 01:00:00,0.0,2571.54105,0.0,548.1872,10.616675,1.0
2020-01-03 02:00:00,0.0,2999.983325,0.0,374.516675,37.8,1.0
2020-01-03 03:00:00,0.0,3000.016675,0.0,253.71665,66.73332500000001,1.0
2020-01-03 04:00:00,0.0,73.083325,0.0,183.8,82.966675,1.0
2020-01-03 05:00:00,0.0,7.0,0.0,204.51665,83.0,1.0
2020-01-03 06:00:00,0.0,7.0,0.0,191.35,82.48332500000001,1.0
2020-01-03 07:00:00,6.96665,6.43335,0.0,176.233325,82.0,1.0
2020-01-03 08:00:00,274.416675,0.7,0.0,330.35,80.76665,1.0
2020-01-03 09:00:00,370.36665000000005,0.0,0.0,406.38335,75.733325,1.0
2020-01-03 10:00:00,500.666675,0.25,0.0,530.466675,69.8,1.0
2020-01-03 11:00:00,491.06667500000003,0.0,0.0,528.9166749999999,65.96665,1.0
2020-01-03 12:00:00,317.2,0.0,0.0,351.95,60.3,1.0
2020-01-03 13:00:00,325.133325,0.0,0.0,359.250025,56.75,1.0
2020-01-03 14:00:00,167.93335,0.0,0.0,196.53334999999998,53.966675,1.0
2020-01-03 15:00:00,161.733325,0.0,0.0,193.916675,51.516675,1.0
2020-01-03 16:00:00,171.18335000000002,0.0,0.0,201.64999999999998,48.083325,1.0
2020-01-03 17:00:00,292.275,0.0,0.0,324.0024,44.8726,1.0
2020-01-03 18:00:00,378.366675,0.0,0.0,419.71665,41.11665,1.0
2020-01-03 19:00:00,2543.75,0.0,0.0,3253.7,21.75,1.0
2020-01-03 20:00:00,542.233325,4.68335,0.0,1587.649975,1.383325,1.0
2020-01-03 21:00:00,0.0,7.0,0.0,695.46665,0.0,1.0
2020-01-03 22:00:00,0.0,7.0,0.0,540.35,0.0,1.0
2020-01-03 23:00:00,0.0,7.0,0.0,337.06667500000003,0.0,1.0
2020-01-04 00:00:00,0.0,7.0,0.0,897.61665,0.0,1.0
2020-01-04 01:00:00,0.0,2649.216675,0.0,856.700025,10.6,1.0
2020-01-04 02:00:00,0.0,3000.0,0.0,837.899975,38.983325,1.0
2020-01-04 03:00:00,0.0,2825.28845,0.0,860.35385,67.152575,1.0
2020-01-04 04:00:00,0.0,186.04999999999998,0.0,844.133325,83.8,1.0
2020-01-04 05:00:00,0.0,7.0,0.0,703.366675,83.0,1.0
2020-01-04 06:00:00,0.0,7.433325,0.0,703.433325,83.0,1.0
2020-01-04 07:00:00,0.0,7.93335,0.0,802.533325,83.0,1.0
2020-01-04 08:00:00,776.25,0.4,0.0,830.8,78.4,1.0
2020-01-04 09:00:00,708.9833,0.0,0.0,739.71665,69.88335,1.0
2020-01-04 10:00:00,681.2333,0.0,0.0,718.6166499999999,61.800025,1.0
2020-01-04 11:00:00,888.1,0.0,0.0,933.116675,52.966675,1.0
2020-01-04 12:00:00,947.783325,0.0,0.0,993.433325,41.333325,1.0
2020-01-04 13:00:00,808.36665,0.0,0.0,835.26665,30.633325,1.0
2020-01-04 14:00:00,815.533325,0.0,0.0,812.299975,20.899974999999998,1.0
2020-01-04 15:00:00,847.6,0.0,0.0,866.0,10.916675,1.0
2020-01-04 16:00:00,380.6,3.63335,0.0,1196.233325,1.283325,1.0
2020-01-04 17:00:00,0.0,7.0,0.0,1745.766675,0.0,1.0
2020-01-04 18:00:00,0.0,7.0,0.0,1266.716675,0.0,1.0
2020-01-04 19:00:00,0.0,7.0,0.0,1479.683325,0.0,1.0
2020-01-04 20:00:00,0.0,7.0,0.0,1347.790475,0.0,1.0
2020-01-04 21:00:00,0.0,7.016675,0.0,1602.883325,0.0,1.0
2020-01-04 22:00:00,0.0,7.066675,0.0,665.71665,0.0,1.0
2020-01-04 23:00:00,0.0,7.0,0.0,729.71665,0.0,1.0
2020-01-05 00:00:00,0.0,7.0,0.0,0.0,97.0,1.0
2020-01-05 01:00:00,0.0,428.91665,0.0,0.0,97.73335,1.0
2020-01-05 02:00:00,0.0,14.089275,0.0,0.0,99.98215,1.0
2020-01-05 03:00:00,0.0,7.0,0.0,0.0,100.0,1.0
2020-01-05 04:00:00,0.0,7.05,0.0,0.0,100.0,1.0
2020-01-05 05:00:00,0.0,7.250025,0.0,0.0,100.0,1.0
2020-01-05 06:00:00,0.0,7.866675,0.0,0.0,100.0,1.0
2020-01-05 07:00:00,0.0,8.0,0.0,0.0,100.0,1.0
2020-01-05 08:00:00,0.0,8.0,0.0,0.0,99.416675,1.0
2020-01-05 09:00:00,0.0,7.916675,0.0,0.0,99.0,1.0
2020-01-05 10:00:00,0.0,7.783325,0.0,0.0,99.0,1.0
2020-01-05 11:00:00,0.0,7.35,0.0,0.0,99.0,1.0
2020-01-05 12:00:00,0.0,7.016675,0.0,0.0,99.0,1.0
2020-01-05 13:00:00,0.0,7.016675,0.0,0.0,99.0,1.0
2020-01-05 14:00:00,0.0,7.183325,0.0,0.0,98.583325,1.0
2020-01-05 15:00:00,0.0,7.066675,0.0,0.0,98.0,1.0
2020-01-05 16:00:00,0.0,7.0,0.0,0.0,98.0,1.0
2020-01-05 17:00:00,0.0,7.0,0.0,0.0,98.0,1.0
2020-01-05 18:00:00,0.0,7.0,0.0,0.0,98.0,1.0
2020-01-05 19:00:00,0.0,7.0,0.0,0.0,97.716675,1.0
2020-01-05 20:00:00,0.0,7.0,0.0,0.0,97.0,1.0
2020-01-05 21:00:00,0.0,7.0,0.0,0.0,97.0,1.0
2020-01-05 22:00:00,0.0,7.0,0.0,0.0,97.0,1.0
2020-01-05 23:00:00,0.0,7.0,0.0,0.0,97.0,1.0
2020-01-06 00:00:00,405.16547499999996,670.864275,0.0,609.1095250000001,10.046425,1.0
