Date ;Ambient temperature (C);Global plane of array irradiance (W/m^2);m-Si module temperature (C);DC power of m-Si (W)
18/06/2016 7:00;18.25;114.62;18.65;204
18/06/2016 7:05;18.58;124.79;19.04;211
18/06/2016 7:10;18.85;136.82;19.43;272
18/06/2016 7:15;18.75;150.38;19.67;299
18/06/2016 7:20;18.82;164.75;20.20;331
18/06/2016 7:25;19.13;180.81;20.58;351
18/06/2016 7:30;19.11;196.14;20.61;395
18/06/2016 7:35;19.33;214.69;21.37;432
18/06/2016 7:40;19.43;231.37;21.70;467
18/06/2016 7:45;19.62;248.57;21.79;502
18/06/2016 7:50;19.88;265.93;22.14;541
18/06/2016 7:55;20.06;284.83;22.42;581
18/06/2016 8:55;22.32;488.28;28.04;994
18/06/2016 9:00;22.15;515.18;28.69;1045
18/06/2016 9:05;22.49;529.16;29.80;1073
18/06/2016 9:15;22.96;561.79;30.01;1144
18/06/2016 9:20;23.30;577.82;30.91;1169
18/06/2016 9:25;22.99;594.13;31.19;1195
18/06/2016 9:30;23.45;602.29;31.65;1224
18/06/2016 9:35;23.58;625.51;31.88;1260
18/06/2016 9:40;23.53;636.97;32.45;1285
18/06/2016 9:45;23.52;658.20;32.34;1323
18/06/2016 9:50;23.96;673.77;32.20;1347
18/06/2016 9:55;24.30;679.04;33.17;1348
18/06/2016 10:00;24.43;697.78;33.92;1388
18/06/2016 10:05;25.14;707.09;34.37;1399
18/06/2016 10:10;24.59;724.13;34.31;1425
18/06/2016 10:15;24.74;735.90;34.17;1455
18/06/2016 10:20;24.87;747.23;34.47;1477
18/06/2016 10:25;24.67;757.32;34.31;1494
18/06/2016 10:30;24.65;763.95;34.59;1503
18/06/2016 10:35;24.74;776.90;34.74;1532
18/06/2016 10:40;24.48;789.29;35.36;1546
18/06/2016 10:45;24.45;796.20;34.30;1567
18/06/2016 10:50;23.92;809.56;34.20;1593
18/06/2016 10:55;24.52;814.11;34.57;1601
18/06/2016 11:00;25.25;828.32;35.27;1615
18/06/2016 11:05;24.89;839.17;34.63;1649
18/06/2016 11:10;24.80;842.31;34.99;1648
18/06/2016 11:15;24.82;851.25;34.95;1671
18/06/2016 11:20;24.89;859.17;34.92;1689
18/06/2016 11:25;24.95;866.84;35.49;1695
18/06/2016 11:30;25.52;870.28;35.87;1705
18/06/2016 11:35;25.60;880.18;36.53;1705
18/06/2016 11:40;26.01;880.67;37.08;1710
18/06/2016 11:45;25.98;886.67;36.52;1709
18/06/2016 11:50;25.90;896.47;36.89;1734
18/06/2016 11:55;25.97;896.11;36.93;1732
18/06/2016 12:00;25.81;902.01;37.20;1743
18/06/2016 12:05;25.38;893.27;36.79;1745
18/06/2016 12:10;25.55;907.31;36.55;1761
18/06/2016 12:15;25.87;908.49;36.93;1758
18/06/2016 12:20;25.36;908.00;36.37;1759
18/06/2016 12:25;25.35;906.12;36.60;1756
18/06/2016 12:30;25.99;908.51;37.05;1756
18/06/2016 12:35;25.12;904.64;36.85;1753
18/06/2016 12:40;25.72;910.89;36.37;1763
18/06/2016 12:45;25.09;910.46;36.12;1760
18/06/2016 12:50;25.50;907.25;36.40;1752
18/06/2016 12:55;25.00;904.28;35.82;1757
18/06/2016 13:00;24.73;901.69;35.15;1748
18/06/2016 13:05;24.95;897.15;35.36;1743
18/06/2016 13:10;25.52;889.74;36.03;1730
18/06/2016 13:15;25.11;894.95;35.28;1736
18/06/2016 13:20;24.70;888.75;35.31;1727
18/06/2016 13:25;24.89;886.81;35.58;1727
18/06/2016 13:30;25.00;876.10;35.05;1709
18/06/2016 13:35;25.44;874.49;34.59;1709
18/06/2016 13:40;25.15;867.33;35.12;1690
18/06/2016 13:45;25.31;861.02;35.24;1678
18/06/2016 13:50;25.36;852.30;35.53;1660
18/06/2016 13:55;25.28;843.24;35.14;1637
18/06/2016 14:00;25.45;839.80;35.43;1641
18/06/2016 14:05;25.34;833.05;35.39;1622
18/06/2016 14:10;25.46;821.79;35.29;1599
18/06/2016 14:15;25.51;816.60;34.86;1599
18/06/2016 14:20;25.56;804.12;34.35;1582
18/06/2016 14:25;25.60;800.70;34.39;1565
18/06/2016 14:30;25.50;785.70;33.60;1545
