Data,PV 1,PV 2,PV 3,PV 4,PV 5,PV 6,PV 7,Cons 1,Cons 2,Cons 3,Cons 4,Cons 5,Cons 6,Cons 7
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.052,2.276,0.616,1.076,0.272,0.156
2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.044,0.316,0.692,0.948,0.596,0.24
2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768,0.072,0.232,0.4,0.26,0.744,0.296
2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.112,0.144,0.164,0.752,0.16
2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.052,0.164,0.192,0.124,0.196,0.268
2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.068,0.172,0.212,0.34,0.188,0.16
2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.064,0.164,0.172,0.26,0.156,0.168
2019-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.056,0.116,0.188,0.192,0.188,0.244
2019-01-01 08:00:00,0.012,0.004,0.001,0.012,0.004,0.001,0.012,0.092,0.068,0.12,0.188,0.152,0.128,1.468
2019-01-01 09:00:00,1.121,1.003,0.055,1.121,1.003,0.055,1.121,0.068,0.06,0.288,0.684,0.36,0.676,0.236
2019-01-01 10:00:00,2.193,1.603,0.136,2.193,1.603,0.136,2.193,0.076,0.052,0.16,0.476,0.38,1.932,0.252
2019-01-01 11:00:00,2.701,1.874,0.439,2.701,1.874,0.439,2.701,1.3,0.052,0.468,0.608,0.976,0.252,1.068
2019-01-01 12:00:00,2.842,1.904,0.162,2.842,1.904,0.162,2.842,1.608,0.076,0.472,6.288,0.116,0.188,0.428
2019-01-01 13:00:00,2.693,1.768,0.171,2.693,1.768,0.171,2.693,1.364,0.064,0.512,2.084,0.312,0.14,0.208
2019-01-01 14:00:00,0.452,1.509,1.518,0.452,1.509,1.518,0.452,0.68,0.052,0.552,0.688,0.088,0.14,0.164
2019-01-01 15:00:00,0.587,0.776,0.272,0.587,0.776,0.272,0.587,0.732,0.044,0.428,0.456,0.364,0.14,0.248
